"NAME","METHOD","CENSUS2010POP","CENSUS2020POP","ESTIMATESBASE2010","ESTIMATESBASE2020","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","BIRTHS2018","BIRTHS2019","BIRTHS2020","BIRTHS2021","BIRTHS2022","BIRTHS2023","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","DEATHS2018","DEATHS2019","DEATHS2020","DEATHS2021","DEATHS2022","DEATHS2023","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","DOMESTICMIG2018","DOMESTICMIG2019","DOMESTICMIG2020","DOMESTICMIG2021","DOMESTICMIG2022","DOMESTICMIG2023","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","INTERNATIONALMIG2018","INTERNATIONALMIG2019","INTERNATIONALMIG2020","INTERNATIONALMIG2021","INTERNATIONALMIG2022","INTERNATIONALMIG2023","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","NATURALINC2018","NATURALINC2019","NATURALINC2020","NATURALINC2021","NATURALINC2022","NATURALINC2023","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","NETMIG2018","NETMIG2019","NETMIG2020","NETMIG2021","NETMIG2022","NETMIG2023","NPOPCHG2010","NPOPCHG2011","NPOPCHG2012","NPOPCHG2013","NPOPCHG2014","NPOPCHG2015","NPOPCHG2016","NPOPCHG2017","NPOPCHG2018","NPOPCHG2019","NPOPCHG2020","NPOPCHG2021","NPOPCHG2022","NPOPCHG2023","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","POPESTIMATE2018","POPESTIMATE2019","POPESTIMATE2020","POPESTIMATE2021","POPESTIMATE2022","POPESTIMATE2023","RBIRTH2011","RBIRTH2012","RBIRTH2013","RBIRTH2014","RBIRTH2015","RBIRTH2016","RBIRTH2017","RBIRTH2018","RBIRTH2019","RBIRTH2021","RBIRTH2022","RBIRTH2023","RDEATH2011","RDEATH2012","RDEATH2013","RDEATH2014","RDEATH2015","RDEATH2016","RDEATH2017","RDEATH2018","RDEATH2019","RDEATH2021","RDEATH2022","RDEATH2023","RDOMESTICMIG2011","RDOMESTICMIG2012","RDOMESTICMIG2013","RDOMESTICMIG2014","RDOMESTICMIG2015","RDOMESTICMIG2016","RDOMESTICMIG2017","RDOMESTICMIG2018","RDOMESTICMIG2019","RDOMESTICMIG2021","RDOMESTICMIG2022","RDOMESTICMIG2023","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017","RESIDUAL2018","RESIDUAL2019","RESIDUAL2020","RESIDUAL2021","RESIDUAL2022","RESIDUAL2023","RINTERNATIONALMIG2011","RINTERNATIONALMIG2012","RINTERNATIONALMIG2013","RINTERNATIONALMIG2014","RINTERNATIONALMIG2015","RINTERNATIONALMIG2016","RINTERNATIONALMIG2017","RINTERNATIONALMIG2018","RINTERNATIONALMIG2019","RINTERNATIONALMIG2021","RINTERNATIONALMIG2022","RINTERNATIONALMIG2023","RNATURALINC2011","RNATURALINC2012","RNATURALINC2013","RNATURALINC2014","RNATURALINC2015","RNATURALINC2016","RNATURALINC2017","RNATURALINC2018","RNATURALINC2019","RNATURALINC2021","RNATURALINC2022","RNATURALINC2023","RNETMIG2011","RNETMIG2012","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","RNETMIG2017","RNETMIG2018","RNETMIG2019","RNETMIG2021","RNETMIG2022","RNETMIG2023"
"Mississippi","OE",2967297,2961279,2968130,2961306,9423,39734,39430,38489,38723,38577,38159,37532,36832,35978,8503,35004,34786,34628,6648,29165,29060,30679,30592,31487,31490,31950,31603,31536,9676,41703,40733,36032,-1068,-4551,-7558,-4719,-8968,-12296,-8032,-7490,-14775,-10740,-2122,-3456,-5752,-2614,590,2103,1975,1722,2588,3187,850,2492,2013,1429,58,627,1555,4800,2775,10569,10370,7810,8131,7090,6669,5582,5229,4442,-1173,-6699,-5947,-1404,-478,-2448,-5583,-2997,-6380,-9109,-7182,-4998,-12762,-9311,-2064,-2829,-4197,2186,2418,8183,5085,4895,1757,-1997,-533,572,-7490,-4871,-2897,-8827,-10654,762,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2958409,2949582,2938928,2939690,13.357585012,13.225891553,12.888681792,12.952614397,12.90429623,12.76987569,12.559968731,12.339999966,12.078891836,11.84971338,11.814873372,11.781000228,9.8045494252,9.7475122628,10.273373398,10.232843004,10.532637981,10.538100722,10.691969544,10.588103251,10.587579436,14.117489346,13.834739179,12.258663516,-1.529933291,-2.535158213,-1.580235636,-2.999742941,-4.113104348,-2.687901715,-2.506505536,-4.950138453,-3.605739572,-1.169940848,-1.95363513,-0.889324668,121,62,298,82,6,22,-20,-12,43,-2,340,701,-510,-20,0.7069764252,0.6624685726,0.57664034,0.8656706882,1.0660754358,0.2844517502,0.8339401598,0.6744249547,0.4797580864,0.2122548934,0.5281471883,1.6330368804,3.5530355863,3.4783792899,2.6153083946,2.7197713934,2.3716582491,2.2317749672,1.8679991861,1.7518967155,1.4913124002,-2.267775966,-2.019865806,-0.477663288,-0.822956866,-1.872689641,-1.003595296,-2.134072253,-3.047028913,-2.403449965,-1.672565377,-4.275713498,-3.125981486,-0.957685954,-1.425487942,0.7437122126
"Missouri","OE",5988927,6154913,5988950,6154889,19015,76256,75442,75168,75796,75145,74882,73765,72323,71297,17239,68820,68857,68334,13194,55939,55619,57558,57101,59996,59195,61348,60322,60141,16745,75365,75735,68389,-502,-14354,-11827,-6349,-8993,-8347,-5789,-898,-2697,-710,-1291,16811,4614,11171,1871,8387,6476,5415,6218,9091,5584,8109,5755,5503,270,3862,10127,7852,5821,20317,19823,17610,18695,15149,15687,12417,12001,11156,494,-6545,-6878,-55,1369,-5967,-5351,-934,-2775,744,-205,7211,3058,4793,-1021,20673,14741,19023,7024,14301,14092,16348,15487,15530,15403,19535,14953,15805,-463,15967,6775,18988,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154426,6170393,6177168,6196156,12.702718393,12.537473071,12.460420907,12.531457395,12.392052925,12.317266074,12.098766546,11.828797364,11.631732342,11.167709643,11.153133805,11.045374711,9.3183141546,9.2431499001,9.5412530143,9.4405872174,9.8938533142,9.7369269686,10.062158613,9.8659722988,9.8116893388,12.229794206,12.267199976,11.054264804,-2.391088174,-1.965492617,-1.052458657,-1.486825114,-1.37649166,-0.952226881,-0.147287906,-0.441108174,-0.115832783,2.7279913806,0.7473540726,1.8056586896,-166,-49,-380,-328,-433,-363,-79,-93,-106,-144,64,1839,-1088,20,1.3971057905,1.076226447,0.8976316945,1.0280305304,1.4991836202,0.9185066339,1.3300196288,0.941259749,0.8977856443,0.6267029155,1.6403239474,1.2691819918,3.3844042382,3.2943231714,2.9191678929,3.0908701779,2.4981996109,2.5803391056,2.0366079333,1.9628250648,1.8200430033,-1.062084563,-1.114066171,-0.008890093,-0.993982384,-0.88926617,-0.154826963,-0.458794584,0.1226919606,-0.033720247,1.1827317232,0.5001515747,0.7819528608,3.3546942961,2.38767802,3.0748406815
"Montana","OE",989415,1084225,989407,1084244,3063,12002,12035,12207,12380,12582,12430,12194,11552,11618,2812,10841,11219,11206,2410,9118,8962,9439,9370,9682,9923,10260,9666,9870,2518,12151,12896,11377,306,3297,3019,5318,4629,5074,6996,8699,5996,6024,2746,20376,15837,9485,347,435,326,1647,609,585,849,949,288,322,44,712,1793,609,653,2884,3073,2768,3010,2900,2507,1934,1886,1748,294,-1310,-1677,-171,653,3732,3345,6965,5238,5659,7845,9648,6284,6346,2790,21088,17630,10094,1290,6619,6467,9786,8300,8606,10384,11623,8183,8113,2967,19155,16512,9934,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1087211,1106366,1122878,1132812,12.074367723,12.028390399,12.102003022,12.164457969,12.261102427,12.00192726,11.650275803,10.93345612,10.911773642,9.8843122443,10.065295679,9.9357624496,9.1729782451,8.9570780856,9.3578116263,9.2068635842,9.4350654666,9.5812650205,9.8025118698,9.1484406906,9.2700297683,11.078708429,11.569841614,10.087379028,3.3168797186,3.0173419706,5.2722578905,4.5484067803,4.9445901857,6.7550670244,8.311116058,5.6749483117,5.6578175607,18.577875315,14.208404284,8.4098435512,-16,3,49,53,52,47,32,41,13,19,-117,-623,559,11,0.4376228928,0.3258209614,1.6328335362,0.5983970035,0.5700798697,0.8197615643,0.9066845774,0.2725792385,0.3024265031,0.6491680028,1.6086170917,0.5399678147,2.9013894778,3.0713123139,2.7441913955,2.9575943851,2.8260369607,2.4206622399,1.8477639333,1.7850154296,1.6417438739,-1.194396185,-1.504545936,-0.151616579,3.7545026114,3.343162932,6.9050914268,5.1468037838,5.5146700553,7.5748285887,9.2178006354,5.9475275501,5.9602440638,19.227043318,15.817021376,8.9498113659
"Nebraska","OE",1826341,1961504,1826305,1961965,6509,25722,25763,26029,26467,26859,26619,26226,25470,25343,6046,24410,24174,24195,3653,15621,15220,16174,15683,16557,16135,16881,15731,15582,4462,19570,19473,18496,-247,-1013,-993,-878,-1653,-2297,-1963,-3599,-3334,-4220,-778,-6037,-4367,-834,650,2073,3169,3083,4992,4045,5871,4642,3280,3295,93,1580,4042,5441,2856,10101,10543,9855,10784,10302,10484,9345,9739,9761,1584,4840,4701,5699,403,1060,2176,2205,3339,1748,3908,1043,-54,-925,-685,-4457,-325,4607,3237,11130,12631,11976,14042,11956,14339,10331,9667,8794,1308,980,3807,10319,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,1963273,1964253,1968060,1978379,14.016621374,13.948659642,13.99942236,14.136089302,14.246546569,14.021464392,13.725274188,13.260234577,13.131013243,12.430216885,12.295053827,12.261687055,8.5123101814,8.2404455905,8.6990148395,8.3763285798,8.7821613442,8.4990543584,8.8346051079,8.1898998871,8.0735291146,9.9655610173,9.904094613,9.3735136917,-0.552011409,-0.537632225,-0.472223014,-0.882871335,-1.21837438,-1.034003329,-1.883522527,-1.735752732,-2.186516035,-3.074199891,-2.221084639,-0.422659517,-22,-31,-88,-84,-81,-94,-53,-57,-18,-42,409,597,-569,13,1.1296344028,1.7157668907,1.6581589434,2.6662393847,2.1455482658,3.092528549,2.4293724845,1.7076391602,1.7072441556,0.8045777418,2.0557875225,2.7574225777,5.5043111928,5.7082140513,5.3004075209,5.7597607221,5.4643852248,5.5224100337,4.8906690796,5.0703346895,5.0574841283,2.4646558673,2.3909592141,2.8881733634,0.5776229942,1.1781346652,1.1859359293,1.78336805,0.9271738859,2.0585252205,0.5458499572,-0.028113572,-0.47927188,-2.269622149,-0.165297116,2.3347630611
"Nevada","OE",2700551,3104614,2700677,3104617,8898,35845,34708,35082,35223,36228,36290,36152,35700,35932,8167,33361,33542,33055,4939,20204,20414,21249,21248,22454,23312,24504,25146,25610,7009,32390,33435,29322,-3055,-6054,13402,13900,23725,29035,34931,37822,47650,43207,10289,25387,20526,8642,911,795,3358,4222,3582,6219,2585,2679,-992,-970,137,3612,10179,4266,3959,15641,14294,13833,13975,13774,12978,11648,10554,10322,1158,971,107,3733,-2144,-5259,16760,18122,27307,35254,37516,40501,46658,42237,10426,28999,30705,12908,1728,10325,31266,31974,41658,49311,50624,52342,57436,52815,11223,30792,30789,16755,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,3115840,3146632,3177421,3194176,13.238820454,12.721181162,12.710947857,12.594040544,12.746089544,12.547320409,12.281000933,11.905464608,11.766522358,10.654259213,10.607754236,10.375734686,7.4620484993,7.4821422223,7.6989604646,7.597256721,7.8999860499,8.0601579877,8.3241216768,8.3858491047,8.3864142709,10.344158026,10.573915177,9.2039719398,-2.235955336,4.9121029716,5.0362629045,8.482912072,10.215377882,12.077444178,12.848307626,15.890627131,14.148840351,8.1076610003,6.4914066976,2.7126637168,-87,-57,212,19,376,283,130,193,224,256,-361,822,-23,114,0.2936214887,1.230774644,1.5297195671,1.2807498859,2.1880294489,0.8937675188,0.9100686407,-0.330818512,-0.317642399,1.1535380917,3.2191381065,1.3390677408,5.7767719549,5.2390389402,5.0119873927,4.9967838232,4.8461034939,4.4871624212,3.9568792561,3.5196155035,3.3801080868,0.3101011869,0.0338390586,1.1717627465,-1.942333848,6.1428776156,6.5659824716,9.7636619578,12.403407331,12.971211696,13.758376266,15.559808619,13.831197952,9.261199092,9.7105448041,4.0517314576
"New Hampshire","OE",1316470,1377529,1316462,1377524,3269,12986,12363,12600,12215,12378,12355,12251,12023,12004,2994,12044,12332,12155,2538,10741,10516,10888,11154,11990,11837,12352,12378,12125,3481,13709,14674,14264,-802,-1677,-896,-1714,2964,-1133,1719,4126,2784,4469,1272,8461,10118,4298,448,2888,3241,2520,2815,3885,3770,2490,2292,1947,88,1542,3834,859,731,2245,1847,1712,1061,388,518,-101,-355,-121,-487,-1665,-2342,-2109,-354,1211,2345,806,5779,2752,5489,6616,5076,6416,1360,10003,13952,5157,300,3440,4030,2390,6719,3009,5957,6480,4678,6246,1178,8792,11509,3051,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,1378702,1387494,1399003,1402054,9.8492053741,9.3502049966,9.5063703999,9.1843382784,9.2729832778,9.224771966,9.1048473223,8.8985039145,8.8486703406,8.7079874311,8.8512566136,8.678866585,8.1464896752,7.9533087232,8.2147111836,8.3865828209,8.9823129343,8.8380109883,9.1799097319,9.1612477297,8.9378647017,9.9118066833,10.532220203,10.184726694,-1.27191725,-0.677649735,-1.293168164,2.2286024279,-0.848787369,1.2834789971,3.0664109095,2.0605036096,3.2942942146,6.1174262417,7.2621646461,3.0688415123,-77,-16,-162,-128,-121,-131,-50,-35,-43,-49,305,454,-101,3,2.1903977453,2.4511861517,1.90127408,2.1165707944,2.9104491868,2.8148434085,1.850548513,1.6963628855,1.4352183566,1.1148884605,2.7518421875,0.6133398928,1.7027156988,1.3968962735,1.2916592162,0.7977554575,0.2906703435,0.3867609776,-0.07506241,-0.262743815,-0.089194361,-1.203819252,-1.68096359,-1.505860109,0.918480495,1.7735364165,0.6081059161,4.3451732223,2.0616618178,4.0983224056,4.9169594225,3.7568664951,4.7295125712,7.2323147022,10.014006834,3.6821814051
"New Jersey","OE",8791894,9288994,8791978,9289039,26541,106677,104508,103457,103320,103115,102906,101676,100724,99501,24722,98001,102468,102055,17109,71062,69000,72453,70501,72547,71177,74783,75450,75723,33966,83971,82566,76563,-8741,-41078,-46100,-47391,-55253,-68366,-67547,-56601,-51151,-48946,-9361,-33561,-65605,-44666,6995,34119,27597,28443,29837,41051,38619,44396,26340,21284,901,14745,38635,49298,9432,35615,35508,31004,32819,30568,31729,26893,25274,23778,-9244,14030,19902,25492,-1746,-6959,-18503,-18948,-25416,-27315,-28928,-12205,-24811,-27662,-8460,-18816,-26970,4632,7468,28671,16825,12030,7553,3424,2878,14698,500,-3835,-16647,-3217,-8358,30024,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,9272392,9269175,9260817,9290841,12.103431427,11.826815041,11.688792523,11.660414467,11.630074856,11.602378879,11.452352375,11.33542094,11.199886989,10.570951204,11.059691769,11.00225112,8.0626005988,7.8084954054,8.1858944745,7.9565513004,8.1823889887,8.0250181861,8.4232391879,8.4910995383,8.5234223021,9.0575947545,8.9116066537,8.2540331436,-4.660655588,-5.216980264,-5.35433626,-6.235703451,-7.710824784,-7.615745303,-6.375296007,-5.756504075,-5.509388535,-3.62008238,-7.080952868,-4.815310847,-218,15,-180,-26,150,171,77,10,37,49,1057,1569,-1290,-100,3.8710966456,3.1230586623,3.2135508059,3.3673227493,4.6300363954,4.3541899396,5.000576695,2.9642884273,2.3957386828,1.5904804594,4.1699964037,5.3146732222,4.0408308284,4.0183196356,3.5028980482,3.7038631669,3.4476858672,3.5773606928,3.0291131872,2.8443214013,2.6764646871,1.5133564493,2.1480851152,2.748217976,-0.789558942,-2.093921601,-2.140785454,-2.868380702,-3.080788389,-3.261555363,-1.374719312,-2.792215648,-3.113649852,-2.029601921,-2.910956465,0.4993623751
"New Mexico","OE",2059179,2117522,2059199,2117525,6649,27795,27040,26723,26364,26054,25263,24131,23404,23125,5327,21433,21151,20728,3836,16369,16470,16792,17139,17633,18141,18527,18574,18388,5523,24640,25470,22344,2069,493,-7247,-10583,-13779,-12431,-7165,-7499,-5244,-2136,702,-1206,-4496,-1088,387,3991,3650,5549,1780,3736,2437,2076,1437,1546,158,2259,5839,3642,2813,11426,10570,9931,9225,8421,7122,5604,4830,4737,-196,-3207,-4319,-1616,2456,4484,-3597,-5034,-11999,-8695,-4728,-5423,-3807,-590,860,1053,1343,2554,5353,15898,6859,4964,-2705,-277,2339,154,957,4088,963,-1538,-3474,895,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,2118488,2116950,2113476,2114371,13.411332492,12.975798265,12.787403142,12.608800765,12.469432446,12.084897084,11.536510611,11.185976903,11.039319071,10.120795063,9.9994657748,9.805463632,7.8981867801,7.9035280111,8.0352532861,8.1968683171,8.4391457094,8.6779922414,8.8573590852,8.8774711586,8.7779891492,11.635160283,12.041340517,10.569918921,0.2378768454,-3.4776483,-5.064142778,-6.589920564,-5.949470896,-3.427474473,-3.585110152,-2.506377665,-1.01967505,-0.569480653,-2.125554259,-0.514682769,84,-12,-114,67,69,-3,-55,-27,-66,-59,299,616,-498,-43,1.9256926776,1.7515408161,2.6552894524,0.8512997027,1.7880478858,1.1657718479,0.9924908221,0.6868163053,0.7380232339,1.0667137614,2.7604784955,1.7228627242,5.5131457114,5.0722702536,4.7521498561,4.4119324479,4.0302867362,3.4069048423,2.6791515255,2.3085057444,2.2613299217,-1.51436522,-2.041874743,-0.764455289,2.163569523,-1.726107484,-2.408853326,-5.738620861,-4.16142301,-2.261702625,-2.59261933,-1.81956136,-0.281651816,0.4972331079,0.6349242369,1.2081799554
"New York","OE",19378102,20201249,19378144,20202320,61427,243118,239915,239882,237017,239352,235832,231376,226993,222924,53056,205414,210106,207450,35112,149781,146882,152549,148838,153893,151605,155137,160899,164817,72698,177088,176382,165914,-22616,-80582,-108406,-112483,-145432,-165857,-194013,-187910,-181262,-180649,-72398,-295159,-298341,-216778,18839,86625,89588,77368,83963,83817,88346,67742,55959,45753,1343,28769,77285,73867,26315,93337,93033,87333,88179,85459,84227,76239,66094,58107,-19642,28326,33724,41536,-3777,6043,-18818,-35115,-61469,-82040,-105667,-120168,-125303,-134896,-71055,-266390,-221056,-142911,21734,99363,73691,51515,26602,3617,-21238,-43856,-59221,-76790,-97610,-250184,-181326,-101984,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,20104710,19854526,19673200,19571216,12.499923199,12.280606968,12.239695925,12.069459288,12.178992292,12.005265514,11.797975678,11.604981942,11.436717793,10.281177548,10.630816455,10.572204718,7.7009970329,7.5184966037,7.7836326761,7.5791786309,7.8305661149,7.7176052368,7.9105116896,8.2259364365,8.4556419068,8.8634327243,8.9244698772,8.455419492,-4.143127252,-5.549013105,-5.739312315,-7.405737155,-8.43933255,-9.876427194,-9.581623027,-9.266991655,-9.267874399,-14.77300517,-15.09527768,-11.04758445,-804,-17,-524,-703,-108,198,202,73,-12,-1,-6913,-12120,6006,-609,4.4538283759,4.5857700313,3.9476108849,4.2755920893,4.2648759856,4.497342121,3.4541977921,2.8608952017,2.3472759737,1.4399174198,3.9104197393,3.7644591271,4.7989261659,4.7621103643,4.4560632485,4.4902806574,4.3484261767,4.2876602769,3.887463988,3.3790455058,2.9810758859,1.4177448237,1.7063465781,2.1167852262,0.3107011241,-0.963243073,-1.79170143,-3.130145066,-4.174456564,-5.379085073,-6.127425235,-6.406096454,-6.920598425,-13.33308775,-11.18485794,-7.283125324
"North Carolina","OE",9535483,10439388,9535751,10439459,29917,121068,119567,119394,120207,120836,120837,120151,120176,119203,28675,116747,121639,121148,18643,79974,79529,84358,83523,88466,89237,91775,93703,94312,25861,115480,117926,108491,20699,32249,29492,39022,34379,44759,70958,64697,71915,67338,12492,101909,98524,97264,4585,9732,21531,19092,17822,21249,20381,20173,14913,14184,679,9920,26184,29448,11274,41094,40038,35036,36684,32370,31600,28376,26473,24891,2814,1267,3713,12657,25284,41981,51023,58114,52201,66008,91339,84870,86828,81522,13171,111829,124708,126712,38572,83269,91884,93860,89551,98759,123142,113445,113382,106469,14353,113288,128865,139526,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,10453812,10567100,10695965,10835491,12.590321869,12.32200557,12.187530815,12.156719713,12.10506652,11.972099678,11.766231842,11.639407709,11.423547604,11.107700751,11.441342064,11.2531173,8.316800485,8.1958799753,8.6111171791,8.4468100911,8.8623159881,8.8412842011,8.9874069071,9.0754178917,9.0381753949,10.987154125,11.092097964,10.077442046,3.3536961868,3.0393050614,3.9832975481,3.4768014095,4.4838514379,7.0302659697,6.3356934314,6.9651844411,6.4531836324,9.6959637146,9.2671493973,9.0345957096,2014,194,823,710,666,381,203,199,81,56,-1632,192,444,157,1.012067701,2.2188823165,1.9488779865,1.8023664074,2.1286748856,2.0192769065,1.9755157672,1.4443689852,1.3592912864,0.9438220378,2.4628622449,2.735346834,4.2735213836,4.1261255951,3.5764136358,3.7099096223,3.2427505317,3.1308154774,2.7788249349,2.5639898173,2.3853722088,0.1205466252,0.3492441,1.1756752539,4.3657638878,5.2581873779,5.9321755346,5.2791678168,6.6125263236,9.0495428762,8.3112091987,8.4095534263,7.8124749188,10.639785752,11.730011642,11.769942544
"North Dakota","OE",672591,779094,672576,779079,2336,9211,9879,10261,10974,11406,11341,11140,10570,10536,2563,10019,9839,9649,1494,6045,5936,6223,6204,6323,6145,6377,6150,6250,1751,7766,7390,6945,817,6216,10456,15237,9492,9354,-6302,-6981,-2358,-1267,-448,-4008,-2727,-9,436,1070,1132,1094,783,2067,1436,2692,1063,951,29,453,1260,2298,842,3166,3943,4038,4770,5083,5196,4763,4420,4286,812,2253,2449,2704,1253,7286,11588,16331,10275,11421,-4866,-4289,-1295,-316,-419,-3555,-1467,2289,2139,10510,15951,20860,15365,16665,368,508,3138,3982,484,-1581,930,5014,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,779563,777982,778912,783926,13.546185861,14.251288047,14.419496182,15.038675873,15.295008203,15.036128605,14.761066825,13.972037419,13.861862905,12.865117862,12.63926767,12.34804887,8.8900980926,8.5631790514,8.7450077712,8.5019086127,8.4789003042,8.147166059,8.4498494742,8.1294257453,8.2229160171,9.9721035347,9.493260299,8.8876774176,9.1415797756,15.083659057,21.412129746,13.00775573,12.543354965,-8.355319854,-9.250180207,-3.116940798,-1.666949535,-5.146560774,-3.503128665,-0.011517509,44,58,420,491,320,161,38,34,13,12,91,-279,-52,21,1.5735988352,1.6330051695,1.5373675882,1.0730165125,2.7717676623,1.9038780245,3.5670369742,1.405134889,1.2511989012,0.5816846383,1.618607304,2.9408038453,4.6560877686,5.6881089959,5.6744884107,6.5367672603,6.8161078991,6.8889625456,6.3112173507,5.8426116739,5.6389468879,2.893014327,3.1460073711,3.4603714524,10.715178611,16.716664226,22.949497334,14.080772243,15.315122628,-6.45144183,-5.683143233,-1.711805909,-0.415750634,-4.564876135,-1.884521361,2.9292863368
"Ohio","OE",11536504,11799448,11536751,11799331,34801,137921,137689,139088,139559,139561,138667,136909,135947,134291,32340,128271,128796,128826,26542,110620,111343,114504,111902,118309,117570,122177,119884,117750,33762,146812,149079,131288,-8632,-36491,-39094,-20099,-21352,-30255,-28077,-8334,-12281,-12916,-2867,-27624,-4862,637,3321,14560,17404,23979,20703,24447,24174,19217,13237,9553,518,9280,23737,28081,8259,27301,26346,24584,27657,21252,21097,14732,16063,16541,-1422,-18541,-20283,-2462,-5311,-21931,-21690,3880,-649,-5808,-3903,10883,956,-3363,-2349,-18344,18875,28718,2585,5327,4260,27761,26016,14827,16843,25280,16691,12759,-1039,-33065,-5530,26238,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,11798292,11765227,11759697,11785935,11.949489341,11.924436508,12.02891669,12.041648734,12.020640453,11.927370915,11.754862407,11.65127292,11.494839751,10.8872533,10.949748446,10.942666563,9.5841279494,9.6427640125,9.9027887138,9.6553040409,10.190167392,10.112723276,10.489988418,10.274601152,10.078988023,12.460957126,12.674132337,11.1517924,-3.161583918,-3.385701987,-1.738246265,-1.842326785,-2.605917677,-2.415028761,-0.715548454,-1.052537259,-1.10556441,-2.344641308,-0.413348838,0.0541077003,-363,-43,-396,-703,-992,-617,-351,-335,-328,-419,2732,3820,-4122,-18,1.2614798675,1.5072583357,2.0738050249,1.786328748,2.1056641694,2.0793142168,1.6499513609,1.1344707838,0.8177033765,0.7876582441,2.0180298988,2.3852407105,2.3653613917,2.2816724956,2.1261279758,2.3863446932,1.8304730613,1.8146476393,1.2648739891,1.3766717685,1.4158517273,-1.573703826,-1.724383892,-0.209125837,-1.90010405,-1.878443651,0.3355587596,-0.055998037,-0.500253507,-0.335714544,0.9344029068,0.0819335249,-0.287861034,-1.556983064,1.6046810608,2.4393484108
"Oklahoma","OE",3751351,3959353,3751582,3959411,13157,52572,52344,53335,53074,53525,52860,51467,49525,48759,11579,47473,48121,48073,7878,37762,36961,38598,38607,39730,39282,40329,40486,40266,10353,50805,51669,45506,1560,7030,8447,13841,4217,8317,-4358,-10504,-4408,3822,3825,26348,26304,23587,1200,6613,6498,5587,6415,9257,7697,4399,4353,4484,172,2188,5663,8380,5279,14810,15383,14737,14467,13795,13578,11138,9039,8493,1226,-3332,-3548,2567,2760,13643,14945,19428,10632,17574,3339,-6105,-55,8306,3997,28536,31967,31967,8362,28435,30435,34400,24973,31313,16831,4985,8919,16736,5823,26400,27637,34553,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,3965234,3991634,4019271,4053824,13.929451615,13.761712106,13.903755304,13.729465074,13.746058361,13.491868316,13.099850375,12.583288859,12.348417909,11.932584529,12.013873589,11.909434981,10.0054012,9.7173819568,10.062007073,9.9870644402,10.20328629,10.026249928,10.264905003,10.286663962,10.19753062,12.770099994,12.899666143,11.273495481,1.8626653894,2.2207928733,3.6081724415,1.0908760262,2.135935869,-1.112326185,-2.673573908,-1.11998258,0.9679372679,6.6227063211,6.5670482923,5.8433599506,323,-18,107,235,-126,-56,-86,-48,-65,-63,600,1196,-782,19,1.7521772717,1.7083831053,1.4564597522,1.6594663761,2.3773425922,1.9645650857,1.1196736122,1.106008206,1.1355914991,0.549965137,1.4138227828,2.0760315591,3.9240504149,4.0443301491,3.8417482314,3.7424006335,3.5427720708,3.4656183881,2.8349453723,2.2966248964,2.1508872885,-0.837515465,-0.885792554,0.6359395003,3.6148426611,3.9291759786,5.0646321937,2.7503424024,4.5132784612,0.852238901,-1.553900296,-0.013974374,2.103528767,7.1726714582,7.9808710751,7.9193915097
