"","Province_State","Week","Doses_yf","Total_Additional_Doses_yf","People_At_Least_One_Dose_yf","People_Fully_Vaccinated_yf","Doses_yf_Percent","Total_Additional_Doses_yf_Percent","People_At_Least_One_Dose_yf_Percent","People_Fully_Vaccinated_yf_Percent"
"103","Massachusetts",2022-12-25,17765199,3240444,7309226,5778917,100,46,100,83
"104","Massachusetts",2023-03-05,18039745,3289271,7367005,5810671,100,47,100,83
"105","Michigan",2020-12-27,83548,0,0,0,1,0,0,0
"106","Michigan",2021-12-26,14017702,2378596,6345853,5679382,100,24,63,57
"107","Michigan",2022-12-25,18399849,3624651,6916373,6208950,100,36,69,62
"108","Michigan",2023-03-05,18584227,3655794,6936142,6225457,100,36,69,62
"109","Middle Atlantic",2020-12-27,474680,0,0,0,1,0,0,0
"110","Middle Atlantic",2021-12-26,69522135,9389552,34217376,28422962,100,22,81,67
"111","Middle Atlantic",2022-12-25,90848722,15619135,38207091,31996518,100,37,91,76
"112","Middle Atlantic",2023-03-05,91976320,15808101,38404078,32158781,100,38,92,77
"113","Midwest Region",2020-12-27,807672,0,0,0,1,0,0,0
"114","Midwest Region",2021-12-26,98662509,16083483,44781957,39938839,100,23,65,58
"115","Midwest Region",2022-12-25,129523703,24555891,49029820,43974034,100,36,71,64
"116","Midwest Region",2023-03-05,131141038,24828289,49223980,44152160,100,36,71,64
"117","Minnesota",2020-12-27,74225,0,0,0,1,0,0,0
"118","Minnesota",2021-12-26,9163154,1716678,4033195,3694139,100,30,71,65
"119","Minnesota",2022-12-25,12533992,2545845,4426639,4053333,100,45,77,71
"120","Minnesota",2023-03-05,12716898,2576639,4447240,4070427,100,45,78,71
"121","Mississippi",2020-12-27,19670,0,0,0,1,0,0,0
"122","Mississippi",2021-12-26,3388292,354935,1645916,1430624,100,12,56,49
"123","Mississippi",2022-12-25,4248212,652307,1829829,1593788,100,22,62,54
"124","Mississippi",2023-03-05,4288801,658530,1835314,1597932,100,22,62,54
"125","Missouri",2020-12-27,79047,0,0,0,1,0,0,0
"126","Missouri",2021-12-26,8110555,1100585,3832397,3258052,100,18,62,53
"127","Missouri",2022-12-25,10338822,1702579,4240562,3609971,100,28,69,58
"128","Missouri",2023-03-05,10448550,1722782,4257715,3625649,100,28,69,59
"129","Montana",2020-12-27,20894,0,0,0,2,0,0,0
"130","Montana",2021-12-26,1444277,229841,663349,577404,100,21,60,52
"131","Montana",2022-12-25,1830798,328159,726624,630092,100,29,65,56
"132","Montana",2023-03-05,1860520,332807,729902,632502,100,29,64,56
"133","Mountain",2020-12-27,287923,0,0,0,1,0,0,0
"134","Mountain",2021-12-26,36532328,5105501,17129243,14670612,100,20,68,58
"135","Mountain",2022-12-25,48773069,8503214,19391354,16605755,100,33,76,65
"136","Mountain",2023-03-05,49422005,8604118,19508097,16674930,100,33,76,65
"137","Nebraska",2020-12-27,27487,0,0,0,1,0,0,0
"138","Nebraska",2021-12-26,2857010,464203,1284316,1157828,100,24,65,59
"139","Nebraska",2022-12-25,3735602,703721,1414102,1276735,100,36,72,65
"140","Nebraska",2023-03-05,3792085,712312,1420762,1282631,100,36,72,65
"141","Nevada",2020-12-27,29394,0,0,0,1,0,0,0
"142","Nevada",2021-12-26,4328364,511655,2145217,1740780,100,16,68,55
"143","Nevada",2022-12-25,5505852,850981,2392527,1956497,100,27,75,62
"144","Nevada",2023-03-05,5558573,859589,2392527,1962779,100,27,75,61
"145","New England",2020-12-27,242443,0,0,0,2,0,0,0
"146","New England",2021-12-26,27825155,4181396,13325462,11038166,100,28,88,73
"147","New England",2022-12-25,37342008,6961183,15222438,12275623,100,46,100,81
"148","New England",2023-03-05,37894287,7054289,15321568,12336922,100,47,100,81
"149","New Hampshire",2020-12-27,25564,0,0,0,2,0,0,0
"150","New Hampshire",2021-12-26,2405480,132018,1238915,915153,100,10,89,66
"151","New Hampshire",2022-12-25,2906126,529173,1238915,972281,100,38,89,69
"152","New Hampshire",2023-03-05,2959206,539117,1238915,978992,100,38,88,70
"153","New Jersey",2020-12-27,92179,0,0,0,1,0,0,0
"154","New Jersey",2021-12-26,14997030,2144959,7449359,6267956,100,23,80,68
"155","New Jersey",2022-12-25,19503839,3611932,8372496,7001577,100,39,90,76
"156","New Jersey",2023-03-05,19729328,3652913,8411065,7031019,100,39,91,76
"157","New Mexico",2020-12-27,36306,0,0,0,2,0,0,0
"158","New Mexico",2021-12-26,3453488,546676,1695938,1391188,100,26,80,66
"159","New Mexico",2022-12-25,4649331,852576,1967857,1570053,100,40,93,74
"160","New Mexico",2023-03-05,4710051,862270,1981228,1577485,100,41,94,75
"161","New York",2020-12-27,228499,0,0,0,1,0,0,0
"162","New York",2021-12-26,34401675,4626125,16388632,13979833,100,23,83,70
"163","New York",2022-12-25,44418984,7618971,18296264,15656046,100,39,93,80
"164","New York",2023-03-05,44921412,7697592,18381201,15725980,100,39,94,80
"165","North Carolina",2020-12-27,98947,0,0,0,1,0,0,0
"166","North Carolina",2021-12-26,14973981,1211334,8046107,5960280,100,11,76,56
"167","North Carolina",2022-12-25,19210889,2209061,9606961,7001627,100,21,90,65
